Unnamed: 0,company.name,company.code,company.cat
138,IME Financial Institution,xIFI,Undetermined
139,Imperial Financial Inst. Ltd.,xIFIL,Undetermined
481,Civil Merchant Bittiya Santha Ltd.,xCMBSL,Undetermined
574,NIDC Capital Markets Ltd.,xNCML,Undetermined
48081,Siddhartha Investment Growth Scheme-1,xSIGS,Undetermined
62753,Namaste Bittiya Sanstha Ltd.,xNBSL,Undetermined
81388,Taragaon Regency Hotels Ltd. Preference Share,xTRHLPS,Undetermined
419080,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86,Undetermined
420465,Kalinchowk Darshan Limited,KDL,Undetermined
424515,Sagarmatha Jalabidhyut Company Limited,SMJC,Undetermined
434444,Bhugol Energy Development Company Limited,BEDC,Undetermined
434719,City Hotel Limited,CITY,Undetermined
439420,Modi Energy Limited,MEL,Undetermined
439421,Rawa Energy Development Limited,RAWA,Undetermined
441623,Samaj Laghubittya Bittiya Sanstha Limited,SAMAJ,Undetermined
445386,Nepal Republic Media Limited,NRM,Undetermined
446709,Ghorahi Cement Industry Limited,GCIL,Undetermined
457298,Hathway Investment Nepal Limited,HATHY,Undetermined
459016,Sonapur Minerals And Oil Limited,SONA,Undetermined
461877,Mathillo Mailun Khola Jalvidhyut Limited,MMKJL,Undetermined
465666,Trishuli Jal Vidhyut Company Limited,TVCL,Undetermined
467090,Muktinath Krishi Company Limited,MKCL,Undetermined
468605,Nepal Warehousing Company Limited,NWCL,Undetermined
468624,Vision Lumbini Urja Company Limited,VLUCL,Undetermined
470750,Siddhartha Investment Growth Scheme 3,SIGS3,Undetermined
472606,Himalayan 80-20,H8020,Undetermined
486096,Sarbottam Cement Limited,SARBTM,Undetermined
494544,Kumari Sabal Yojana,KSY,Undetermined
498253,NIC ASIA Rinpatra 2088,NICD88,Undetermined
515941,Matribhumi Lagubitta Bittiya Sanstha Limited,MATRI,Undetermined
529525,CEDB Holdings Limited,CHDC,Undetermined
552796,Garima Samriddhi Yojana,GSY,Undetermined
567031,Om Megashree Pharmaceuticals Limited,OMPL,Undetermined
572082,Pure Energy Limited,PURE,Undetermined
578352,Reliable Samriddhi Yojana,RSY,Undetermined
